Datum
1970-01-01
1970-01-06
1970-03-27
1970-03-30
1970-05-01
1970-05-07
1970-05-18
1970-05-28
1970-08-15
1970-10-03
1970-11-01
1970-12-25
1970-12-26
1971-01-01
1971-01-06
1971-04-09
1971-04-12
1971-05-01
1971-05-20
1971-05-31
1971-06-10
1971-08-15
1971-10-03
1971-11-01
1971-12-25
1971-12-26
1972-01-01
1972-01-06
1972-03-31
1972-04-03
1972-05-01
1972-05-11
1972-05-22
1972-06-01
1972-08-15
1972-10-03
1972-11-01
1972-12-25
1972-12-26
1973-01-01
1973-01-06
1973-04-20
1973-04-23
1973-05-01
1973-05-31
1973-06-11
1973-06-21
1973-08-15
1973-10-03
1973-11-01
1973-12-25
1973-12-26
1974-01-01
1974-01-06
1974-04-12
1974-04-15
1974-05-01
1974-05-23
1974-06-03
1974-06-13
1974-08-15
1974-10-03
1974-11-01
1974-12-25
1974-12-26
1975-01-01
1975-01-06
1975-03-28
1975-03-31
1975-05-01
1975-05-08
1975-05-19
1975-05-29
1975-08-15
1975-10-03
1975-11-01
1975-12-25
1975-12-26
1976-01-01
1976-01-06
1976-04-16
1976-04-19
1976-05-01
1976-05-27
1976-06-07
1976-06-17
1976-08-15
1976-10-03
1976-11-01
1976-12-25
1976-12-26
1977-01-01
1977-01-06
1977-04-08
1977-04-11
1977-05-01
1977-05-19
1977-05-30
1977-06-09
1977-08-15
1977-10-03
1977-11-01
1977-12-25
1977-12-26
1978-01-01
1978-01-06
1978-03-24
1978-03-27
1978-05-01
1978-05-04
1978-05-15
1978-05-25
1978-08-15
1978-10-03
1978-11-01
1978-12-25
1978-12-26
1979-01-01
1979-01-06
1979-04-13
1979-04-16
1979-05-01
1979-05-24
1979-06-04
1979-06-14
1979-08-15
1979-10-03
1979-11-01
1979-12-25
1979-12-26
1980-01-01
1980-01-06
1980-04-04
1980-04-07
1980-05-01
1980-05-15
1980-05-26
1980-06-05
1980-08-15
1980-10-03
1980-11-01
1980-12-25
1980-12-26
1981-01-01
1981-01-06
1981-04-17
1981-04-20
1981-05-01
1981-05-28
1981-06-08
1981-06-18
1981-08-15
1981-10-03
1981-11-01
1981-12-25
1981-12-26
1982-01-01
1982-01-06
1982-04-09
1982-04-12
1982-05-01
1982-05-20
1982-05-31
1982-06-10
1982-08-15
1982-10-03
1982-11-01
1982-12-25
1982-12-26
1983-01-01
1983-01-06
1983-04-01
1983-04-04
1983-05-01
1983-05-12
1983-05-23
1983-06-02
1983-08-15
1983-10-03
1983-11-01
1983-12-25
1983-12-26
1984-01-01
1984-01-06
1984-04-20
1984-04-23
1984-05-01
1984-05-31
1984-06-11
1984-06-21
1984-08-15
1984-10-03
1984-11-01
1984-12-25
1984-12-26
1985-01-01
1985-01-06
1985-04-05
1985-04-08
1985-05-01
1985-05-16
1985-05-27
1985-06-06
1985-08-15
1985-10-03
1985-11-01
1985-12-25
1985-12-26
1986-01-01
1986-01-06
1986-03-28
1986-03-31
1986-05-01
1986-05-08
1986-05-19
1986-05-29
1986-08-15
1986-10-03
1986-11-01
1986-12-25
1986-12-26
1987-01-01
1987-01-06
1987-04-17
1987-04-20
1987-05-01
1987-05-28
1987-06-08
1987-06-18
1987-08-15
1987-10-03
1987-11-01
1987-12-25
1987-12-26
1988-01-01
1988-01-06
1988-04-01
1988-04-04
1988-05-01
1988-05-12
1988-05-23
1988-06-02
1988-08-15
1988-10-03
1988-11-01
1988-12-25
1988-12-26
1989-01-01
1989-01-06
1989-03-24
1989-03-27
1989-05-01
1989-05-04
1989-05-15
1989-05-25
1989-08-15
1989-10-03
1989-11-01
1989-12-25
1989-12-26
1990-01-01
1990-01-06
1990-04-13
1990-04-16
1990-05-01
1990-05-24
1990-06-04
1990-06-14
1990-08-15
1990-10-03
1990-11-01
1990-12-25
1990-12-26
1991-01-01
1991-01-06
1991-03-29
1991-04-01
1991-05-01
1991-05-09
1991-05-20
1991-05-30
1991-08-15
1991-10-03
1991-11-01
1991-12-25
1991-12-26
1992-01-01
1992-01-06
1992-04-17
1992-04-20
1992-05-01
1992-05-28
1992-06-08
1992-06-18
1992-08-15
1992-10-03
1992-11-01
1992-12-25
1992-12-26
1993-01-01
1993-01-06
1993-04-09
1993-04-12
1993-05-01
1993-05-20
1993-05-31
1993-06-10
1993-08-15
1993-10-03
1993-11-01
1993-12-25
1993-12-26
1994-01-01
1994-01-06
1994-04-01
1994-04-04
1994-05-01
1994-05-12
1994-05-23
1994-06-02
1994-08-15
1994-10-03
1994-11-01
1994-12-25
1994-12-26
1995-01-01
1995-01-06
1995-04-14
1995-04-17
1995-05-01
1995-05-25
1995-06-05
1995-06-15
1995-08-15
1995-10-03
1995-11-01
1995-12-25
1995-12-26
1996-01-01
1996-01-06
1996-04-05
1996-04-08
1996-05-01
1996-05-16
1996-05-27
1996-06-06
1996-08-15
1996-10-03
1996-11-01
1996-12-25
1996-12-26
1997-01-01
1997-01-06
1997-03-28
1997-03-31
1997-05-01
1997-05-08
1997-05-19
1997-05-29
1997-08-15
1997-10-03
1997-11-01
1997-12-25
1997-12-26
1998-01-01
1998-01-06
1998-04-10
1998-04-13
1998-05-01
1998-05-21
1998-06-01
1998-06-11
1998-08-15
1998-10-03
1998-11-01
1998-12-25
1998-12-26
1999-01-01
1999-01-06
1999-04-02
1999-04-05
1999-05-01
1999-05-13
1999-05-24
1999-06-03
1999-08-15
1999-10-03
1999-11-01
1999-12-25
1999-12-26
2000-01-01
2000-01-06
2000-04-21
2000-04-24
2000-05-01
2000-06-01
2000-06-12
2000-06-22
2000-08-15
2000-10-03
2000-11-01
2000-12-25
2000-12-26
2001-01-01
2001-01-06
2001-04-13
2001-04-16
2001-05-01
2001-05-24
2001-06-04
2001-06-14
2001-08-15
2001-10-03
2001-11-01
2001-12-25
2001-12-26
2002-01-01
2002-01-06
2002-03-29
2002-04-01
2002-05-01
2002-05-09
2002-05-20
2002-05-30
2002-08-15
2002-10-03
2002-11-01
2002-12-25
2002-12-26
2003-01-01
2003-01-06
2003-04-18
2003-04-21
2003-05-01
2003-05-29
2003-06-09
2003-06-19
2003-08-15
2003-10-03
